ProductID,forecast,past_forecast,previous_orders,sales,store_stock,dc_intake,dc_stock
102,0,0,44,930,0,3,1
380,0,0,40,87,0,0,1
431,0,0,36,90,0,0,1
406,0,0,35,93,2,0,1
69,0,0,33,351,0,1,1
434,0,0,33,89,0,0,1
397,0,0,32,98,2,0,1
108,0,0,31,730,0,1,1
428,0,0,30,69,0,0,1
367,0,0,29,39,0,0,1
407,0,0,28,318,2,0,1
409,0,0,28,84,2,0,1
373,0,0,27,55,0,0,1
370,0,0,27,49,0,0,1
400,0,0,26,131,2,0,1
99,0,0,25,570,0,2,1
398,0,0,25,221,2,0,1
376,0,0,21,39,0,0,1
394,0,0,20,47,2,0,1
410,0,0,18,189,2,0,1
440,0,0,18,40,0,0,1
413,0,0,17,114,2,1,1
437,0,0,17,53,0,0,1
378,0,0,17,23,0,0,1
372,0,0,17,22,0,0,1
395,0,0,16,99,2,0,1
379,0,0,14,43,0,0,1
81,0,0,13,263,0,1,1
430,0,0,12,52,0,0,1
364,0,0,12,18,0,0,1
375,0,0,11,30,0,0,1
111,0,0,10,396,0,1,1
392,0,0,10,18,2,0,1
443,0,0,9,24,0,0,1
399,0,0,9,12,2,0,1
66,0,0,8,80,0,0,1
408,0,0,8,28,2,0,1
439,0,0,8,18,0,0,1
152,0,0,7,188,0,1,1
436,0,0,7,21,0,1,1
402,0,0,6,26,2,0,1
365,0,0,5,52,0,0,1
383,0,0,5,48,0,0,1
405,0,0,5,41,2,0,1
362,0,0,4,19,0,0,1
438,0,0,4,16,0,0,1
429,0,0,4,10,0,0,1
427,0,0,3,20,0,0,1
123,0,0,3,5,0,0,1
425,0,0,2,25,0,0,1
369,0,0,2,23,0,0,1
424,0,0,2,22,0,0,1
340,0,0,2,19,0,0,1
337,0,0,2,16,0,0,1
435,0,0,2,12,0,1,1
349,0,0,2,12,0,0,1
345,0,0,2,9,0,0,1
382,0,0,2,9,0,0,1
385,0,0,2,5,0,0,1
388,0,0,2,2,0,0,1
122,0,0,1,210,0,2,1
433,0,0,1,36,0,0,1
84,0,0,1,32,0,0,1
347,0,0,1,20,0,0,1
343,0,0,1,19,0,0,1
432,0,0,1,18,0,0,1
412,0,0,1,15,2,0,1
338,0,0,1,11,0,0,1
415,0,0,1,9,2,0,1
416,0,0,1,9,2,0,1
419,0,0,1,8,2,0,1
350,0,0,1,8,0,0,1
334,0,0,1,7,0,0,1
346,0,0,1,7,0,0,1
391,0,0,1,6,2,0,1
421,0,0,1,6,0,0,1
342,0,0,1,5,0,1,1
348,0,0,1,5,0,0,1
386,0,0,1,5,0,0,1
442,0,0,1,4,0,0,1
353,0,0,1,3,0,0,1
446,0,0,1,3,0,0,1
339,0,0,1,2,0,0,1
351,0,0,1,2,0,0,1
445,0,0,1,2,0,0,1
194,0,0,0,974,106,0,1
191,0,0,0,903,106,0,1
197,0,0,0,751,106,0,1
188,0,0,0,615,106,0,1
200,0,0,0,493,106,0,1
146,0,0,0,420,0,2,1
142,0,0,0,417,0,2,1
176,0,0,0,397,0,2,1
26,0,0,0,381,0,7,1
56,0,0,0,343,0,4,1
203,0,0,0,315,106,0,1
172,0,0,0,313,0,1,1
22,0,0,0,305,0,3,1
185,0,0,0,299,106,0,1
112,0,0,0,279,0,0,1
52,0,0,0,217,0,1,1
82,0,0,0,193,0,0,1
126,0,0,0,177,0,2,1
2,0,0,0,160,0,2,1
156,0,0,0,126,0,2,1
96,0,0,0,115,0,1,1
220,0,0,0,107,0,0,1
6,0,0,0,105,0,3,1
221,0,0,0,98,0,0,1
224,0,0,0,91,0,0,1
145,0,0,0,90,0,3,1
32,0,0,0,89,0,1,1
36,0,0,0,86,0,1,1
281,0,0,0,83,0,0,1
227,0,0,0,77,0,0,1
144,0,0,0,73,0,3,1
223,0,0,0,73,0,0,1
175,0,0,0,72,0,0,1
280,0,0,0,72,0,0,1
217,0,0,0,70,0,0,1
284,0,0,0,67,0,0,1
287,0,0,0,65,0,0,1
283,0,0,0,62,0,0,1
24,0,0,0,61,0,6,1
25,0,0,0,60,0,5,1
174,0,0,0,55,0,1,1
491,0,0,0,55,0,0,1
277,0,0,0,54,0,0,1
147,0,0,0,53,0,2,1
226,0,0,0,53,0,0,1
182,0,0,0,52,106,0,1
225,0,0,0,50,0,0,1
278,0,0,0,50,0,0,1
55,0,0,0,47,0,2,1
85,0,0,0,47,0,0,1
114,0,0,0,44,0,0,1
218,0,0,0,44,0,0,1
121,0,0,0,41,0,0,1
115,0,0,0,38,0,1,1
222,0,0,0,37,0,0,1
488,0,0,0,37,0,0,1
494,0,0,0,37,0,0,1
228,0,0,0,36,0,0,1
54,0,0,0,33,0,2,1
490,0,0,0,32,0,0,1
492,0,0,0,32,0,0,1
